Sample	uniquely_mapped_percent	num_splices	num_GCAG_splices	insertion_length	deletion_length	unmapped_tooshort_percent	avg_mapped_read_length	deletion_rate	mismatch_rate	avg_input_read_length	num_ATAC_splices	num_annotated_splices	num_GTAG_splices	uniquely_mapped	multimapped_toomany	unmapped_mismatches	unmapped_mismatches_percent	total_reads	unmapped_other	insertion_rate	unmapped_other_percent	multimapped_percent	multimapped	num_noncanonical_splices	unmapped_tooshort	multimapped_toomany_percent
SLX-14347.D709_D506.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1	53.95	209213.0	1525.0	1.46	1.66	5.24	49.13	0.01	0.53	49.0	112.0	0.0	206042.0	4680128.0	49292.0	0	0.0	8675495.0	17360	0.01	0.2	40.04	3473891.0	1534.0	454824	0.57
SLX-14347.D710_D504.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1	65.08	447596.0	2794.0	1.45	1.69	2.84	49.09	0.01	0.51	49.0	177.0	0.0	442020.0	7227108.0	174423.0	0	0.0	11105181.0	24397	0.0	0.22	30.3	3364315.0	2605.0	314938	1.57
SLX-14347.D710_D504.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1	65.0	458534.0	2810.0	1.45	1.69	2.82	49.11	0.01	0.51	49.0	187.0	0.0	452857.0	7386542.0	178181.0	0	0.0	11363927.0	24993	0.0	0.22	30.39	3453841.0	2680.0	320370	1.57
SLX-14347.D710_D505.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1	65.5	369865.0	2110.0	1.47	1.66	4.18	49.09	0.01	0.71	49.0	146.0	0.0	365410.0	7373936.0	196966.0	0	0.0	11257142.0	26984	0.0	0.24	28.33	3189292.0	2199.0	469964	1.75
SLX-14347.D710_D505.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1	65.46	376137.0	2264.0	1.46	1.65	4.19	49.11	0.01	0.7	49.0	180.0	0.0	371448.0	7504941.0	200414.0	0	0.0	11464319.0	27514	0.0	0.24	28.36	3251099.0	2245.0	480351	1.75
SLX-14347.D710_D506.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1	66.43	499981.0	2886.0	1.45	1.69	2.84	49.11	0.01	0.43	49.0	204.0	0.0	494164.0	8186818.0	220927.0	0	0.0	12323989.0	34592	0.01	0.28	28.65	3530785.0	2727.0	350867	1.79
SLX-14347.D710_D506.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1	66.38	511399.0	2872.0	1.46	1.67	2.85	49.12	0.01	0.43	49.0	204.0	0.0	505448.0	8385974.0	226536.0	0	0.0	12633689.0	35433	0.01	0.28	28.69	3625092.0	2875.0	360654	1.79
SLX-14347.D711_D504.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1	63.52	347158.0	2091.0	1.45	1.66	2.96	49.09	0.01	0.54	49.0	137.0	0.0	342777.0	5963304.0	112994.0	0	0.0	9388427.0	19743	0.0	0.21	32.1	3014104.0	2153.0	278282	1.2
SLX-14347.D711_D504.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1	63.49	360055.0	2237.0	1.47	1.66	2.97	49.11	0.01	0.54	49.0	160.0	0.0	355623.0	6136147.0	118263.0	0	0.0	9665464.0	21230	0.0	0.22	32.11	3103226.0	2035.0	286598	1.22
SLX-14347.D711_D505.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1	64.89	339881.0	1953.0	1.52	1.7	4.04	49.09	0.01	0.82	49.0	128.0	0.0	335583.0	7825436.0	146271.0	0	0.0	12058693.0	28910	0.0	0.24	29.62	3571430.0	2217.0	486646	1.21
SLX-14347.D711_D505.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1	64.88	348896.0	2061.0	1.53	1.66	4.02	49.11	0.01	0.81	49.0	119.0	0.0	344474.0	8052143.0	150547.0	0	0.0	12411063.0	29825	0.0	0.24	29.64	3678971.0	2242.0	499577	1.21
SLX-14347.D711_D506.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1	69.82	1071399.0	6519.0	1.46	1.64	2.7	49.08	0.01	0.32	49.0	483.0	0.0	1059607.0	13440797.0	334825.0	0	0.0	19251947.0	57715	0.0	0.3	25.45	4899177.0	4790.0	519433	1.74
SLX-14347.D711_D506.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1	69.72	1107263.0	6680.0	1.46	1.63	2.72	49.1	0.01	0.31	49.0	469.0	0.0	1095146.0	13860574.0	349427.0	0	0.0	19880482.0	59666	0.0	0.3	25.5	5069847.0	4968.0	540968	1.76
SLX-14347.D712_D504.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1	60.54	335023.0	2028.0	1.48	1.64	3.46	49.09	0.01	0.58	49.0	145.0	0.0	330745.0	5588359.0	111599.0	0	0.0	9231383.0	16640	0.0	0.18	34.61	3194925.0	2105.0	319860	1.21
SLX-14347.D712_D504.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1	60.49	345104.0	2132.0	1.46	1.63	3.48	49.1	0.01	0.58	49.0	152.0	0.0	340667.0	5742972.0	115073.0	0	0.0	9493985.0	17087	0.0	0.18	34.64	3288499.0	2153.0	330354	1.21
SLX-14347.D712_D505.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1	65.62	86650.0	441.0	1.52	1.68	5.76	49.08	0.01	1.13	49.0	42.0	0.0	85463.0	3498136.0	35175.0	0	0.0	5330640.0	12802	0.0	0.24	27.71	1477277.0	704.0	307250	0.66
SLX-14347.D712_D505.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1	65.53	89455.0	508.0	1.47	1.69	5.8	49.1	0.01	1.13	49.0	40.0	0.0	88183.0	3590802.0	36073.0	0	0.0	5479295.0	13683	0.0	0.25	27.76	1521294.0	724.0	317443	0.66
SLX-14347.D712_D506.HVFCGBBXX.s_3.r_1_trimmed_Oar_v3.1	65.3	323342.0	1894.0	1.45	1.67	3.32	49.1	0.01	0.49	49.0	142.0	0.0	319434.0	5428340.0	104538.0	0	0.0	8312704.0	21618	0.0	0.26	29.86	2482158.0	1872.0	276050	1.26
SLX-14347.D712_D506.HVFCGBBXX.s_4.r_1_trimmed_Oar_v3.1	65.24	332627.0	1935.0	1.44	1.67	3.31	49.12	0.01	0.49	49.0	163.0	0.0	328577.0	5582454.0	107817.0	0	0.0	8556714.0	23112	0.0	0.27	29.92	2559991.0	1952.0	283340	1.26
